Story: Ward 1908 (ward-1908)
Character: Hospital Archivist Nella Ward
Role: operator
Profile: voice.ward-1908.hospital-archivist-nella-ward

1. [SIGNAL] Day 01 - First Breach - Day 01 control: secure police report intake ledger photo, validate hospital wing, and keep evidence readable for first-time investigators under pressure.
2. [WHATSAPP] Day 02 - Record Fracture - Day 02 control: secure handwritten note orderly shift recording, validate patient ledger, and keep evidence readable for first-time investigators under pressure.
3. [TELEGRAM] Day 03 - Witness Contradiction - Day 03 control: secure journal entry basement access override, validate surgical light, and keep evidence readable for first-time investigators under pressure.
4. [SMS] Day 04 - Unscheduled Drop - Day 04 control: secure text message screenshot treatment wing floorplan, validate ward alarm, and keep evidence readable for first-time investigators under pressure.
5. [SIGNAL] Day 05 - Shadow Contact - Day 05 control: secure call log intake ledger photo, validate asylum file, and keep evidence readable for first-time investigators under pressure.
6. [WHATSAPP] Day 06 - Archive Breach - Day 06 control: secure voicemail transcript orderly shift recording, validate intake stamp, and keep evidence readable for first-time investigators under pressure.
7. [TELEGRAM] Day 07 - Trust Fork - Day 07 control: secure security footage still basement access override, validate hospital wing, and keep evidence readable for first-time investigators under pressure.
8. [SMS] Day 08 - Signal Contamination - Day 08 control: secure crime scene photo treatment wing floorplan, validate patient ledger, and keep evidence readable for first-time investigators under pressure.
9. [SIGNAL] Day 09 - Trap Site - Day 09 control: secure marked map intake ledger photo, validate surgical light, and keep evidence readable for first-time investigators under pressure.
10. [WHATSAPP] Day 10 - Protection Leak - Day 10 control: secure receipt orderly shift recording, validate ward alarm, and keep evidence readable for first-time investigators under pressure.
11. [TELEGRAM] Day 11 - Impersonation Window - Day 11 control: secure medical record basement access override, validate asylum file, and keep evidence readable for first-time investigators under pressure.
12. [SMS] Day 12 - Impossible Record - Day 12 control: secure shipping manifest treatment wing floorplan, validate intake stamp, and keep evidence readable for first-time investigators under pressure.
13. [SIGNAL] Day 13 - Evidence Tamper - Day 13 control: secure police report intake ledger photo, validate hospital wing, and keep evidence readable for first-time investigators under pressure.
14. [WHATSAPP] Day 14 - Pressure Call - Day 14 control: secure handwritten note orderly shift recording, validate patient ledger, and keep evidence readable for first-time investigators under pressure.
15. [TELEGRAM] Day 15 - Recovered Tape - Day 15 control: secure journal entry basement access override, validate surgical light, and keep evidence readable for first-time investigators under pressure.
16. [SMS] Day 16 - Hidden Network - Day 16 control: secure text message screenshot treatment wing floorplan, validate ward alarm, and keep evidence readable for first-time investigators under pressure.
17. [SIGNAL] Day 17 - Missing Minutes - Day 17 control: secure call log intake ledger photo, validate asylum file, and keep evidence readable for first-time investigators under pressure.
18. [WHATSAPP] Day 18 - Panic Wave - Day 18 control: secure voicemail transcript orderly shift recording, validate intake stamp, and keep evidence readable for first-time investigators under pressure.
19. [TELEGRAM] Day 19 - Pattern Marks - Day 19 control: secure security footage still basement access override, validate hospital wing, and keep evidence readable for first-time investigators under pressure.
20. [SMS] Day 20 - Reroute Trace - Day 20 control: secure crime scene photo treatment wing floorplan, validate patient ledger, and keep evidence readable for first-time investigators under pressure.
21. [SIGNAL] Day 21 - Collapsed Witness - Day 21 control: secure marked map intake ledger photo, validate surgical light, and keep evidence readable for first-time investigators under pressure.
22. [WHATSAPP] Day 22 - Ultimatum Night - Day 22 control: secure receipt orderly shift recording, validate ward alarm, and keep evidence readable for first-time investigators under pressure.
23. [TELEGRAM] Day 23 - Identity Reveal - Day 23 control: secure medical record basement access override, validate asylum file, and keep evidence readable for first-time investigators under pressure.
24. [SMS] Day 24 - Legacy File - Day 24 control: secure shipping manifest treatment wing floorplan, validate intake stamp, and keep evidence readable for first-time investigators under pressure.
25. [SIGNAL] Day 25 - Chronology Hearing - Day 25 control: secure police report intake ledger photo, validate hospital wing, and keep evidence readable for first-time investigators under pressure.
26. [WHATSAPP] Day 26 - Compromise Offer - Day 26 control: secure handwritten note orderly shift recording, validate patient ledger, and keep evidence readable for first-time investigators under pressure.
27. [TELEGRAM] Day 27 - Countdown Board - Day 27 control: secure journal entry basement access override, validate surgical light, and keep evidence readable for first-time investigators under pressure.
28. [SMS] Day 28 - Final Reckoning - Day 28 control: secure text message screenshot treatment wing floorplan, validate ward alarm, and keep evidence readable for first-time investigators under pressure.
